"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-0983","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0983","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0983","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0983","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0983.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0932","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0932.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0932","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0932.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0663","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0663.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0663","M-Files Corporation","cvelistV5/cves/2026/0xxx/CVE-2026-0663.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14318","M-Files Corporation","cvelistV5/cves/2025/14xxx/CVE-2025-14318.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14318","M-Files Corporation","cvelistV5/cves/2025/14xxx/CVE-2025-14318.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14267","M-Files Corporation","cvelistV5/cves/2025/14xxx/CVE-2025-14267.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14267","M-Files Corporation","cvelistV5/cves/2025/14xxx/CVE-2025-14267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13008","M-Files Corporation","cvelistV5/cves/2025/13xxx/CVE-2025-13008.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13008","M-Files Corporation","cvelistV5/cves/2025/13xxx/CVE-2025-13008.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11681","M-Files Corporation","cvelistV5/cves/2025/11xxx/CVE-2025-11681.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11681","M-Files Corporation","cvelistV5/cves/2025/11xxx/CVE-2025-11681.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9826","M-Files Corporation","cvelistV5/cves/2025/9xxx/CVE-2025-9826.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9826","M-Files Corporation","cvelistV5/cves/2025/9xxx/CVE-2025-9826.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5964","M-Files Corporation","cvelistV5/cves/2025/5xxx/CVE-2025-5964.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3087","M-Files Corporation","cvelistV5/cves/2025/3xxx/CVE-2025-3087.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3087","M-Files Corporation","cvelistV5/cves/2025/3xxx/CVE-2025-3087.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3086","M-Files Corporation","cvelistV5/cves/2025/3xxx/CVE-2025-3086.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3086","M-Files Corporation","cvelistV5/cves/2025/3xxx/CVE-2025-3086.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2159","M-Files Corporation","cvelistV5/cves/2025/2xxx/CVE-2025-2159.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2159","M-Files Corporation","cvelistV5/cves/2025/2xxx/CVE-2025-2159.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2091","M-Files Corporation","cvelistV5/cves/2025/2xxx/CVE-2025-2091.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0648","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0648.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0648","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0648.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0635","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0635.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0635","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0635.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0619","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0619.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0619","M-Files Corporation","cvelistV5/cves/2025/0xxx/CVE-2025-0619.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11176","M-Files Corporation","cvelistV5/cves/2024/11xxx/CVE-2024-11176.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10127","M-Files Corporation","cvelistV5/cves/2024/10xxx/CVE-2024-10127.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10127","M-Files Corporation","cvelistV5/cves/2024/10xxx/CVE-2024-10127.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
