"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-22240","MHV","cvelistV5/cves/2026/22xxx/CVE-2026-22240.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22239","MHV","cvelistV5/cves/2026/22xxx/CVE-2026-22239.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22238","MHV","cvelistV5/cves/2026/22xxx/CVE-2026-22238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22237","MHV","cvelistV5/cves/2026/22xxx/CVE-2026-22237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22236","MHV","cvelistV5/cves/2026/22xxx/CVE-2026-22236.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2754","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2754.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2753","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2753.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2752","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2752.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2250","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2250.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2250","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2250.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2250","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2250.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2249","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2249.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2249","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2249.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2249","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2249.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2248","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2248.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2248","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2248.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2248","MHV","cvelistV5/cves/2026/2xxx/CVE-2026-2248.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
