"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-1723","ManageEngine","cvelistV5/cves/2025/1xxx/CVE-2025-1723.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-52323","ManageEngine","cvelistV5/cves/2024/52xxx/CVE-2024-52323.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-49574","ManageEngine","cvelistV5/cves/2024/49xxx/CVE-2024-49574.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-48878","ManageEngine","cvelistV5/cves/2024/48xxx/CVE-2024-48878.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-41150","ManageEngine","cvelistV5/cves/2024/41xxx/CVE-2024-41150.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-41140","ManageEngine","cvelistV5/cves/2024/41xxx/CVE-2024-41140.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-38872","ManageEngine","cvelistV5/cves/2024/38xxx/CVE-2024-38872.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-38871","ManageEngine","cvelistV5/cves/2024/38xxx/CVE-2024-38871.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-38870","ManageEngine","cvelistV5/cves/2024/38xxx/CVE-2024-38870.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-38869","ManageEngine","cvelistV5/cves/2024/38xxx/CVE-2024-38869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-38868","ManageEngine","cvelistV5/cves/2024/38xxx/CVE-2024-38868.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36518","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36518.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36517","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36516","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36515","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36515.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36514","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36514.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36485","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36485.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36038","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36038.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36037","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36037.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36036","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36036.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36035","ManageEngine","cvelistV5/cves/2024/36xxx/CVE-2024-36035.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
