"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9811","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9811.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9809","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9809.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9808","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9808.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9559","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9559.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9558","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9558.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9557","Mautic","cvelistV5/cves/2026/9xxx/CVE-2026-9557.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4776","Mautic","cvelistV5/cves/2026/4xxx/CVE-2026-4776.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.event","Timeline entry must have an 'event' field"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3105","Mautic","cvelistV5/cves/2026/3xxx/CVE-2026-3105.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-13828","Mautic","cvelistV5/cves/2025/13xxx/CVE-2025-13828.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13827","Mautic","cvelistV5/cves/2025/13xxx/CVE-2025-13827.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9824","Mautic","cvelistV5/cves/2025/9xxx/CVE-2025-9824.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9823","Mautic","cvelistV5/cves/2025/9xxx/CVE-2025-9823.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9822","Mautic","cvelistV5/cves/2025/9xxx/CVE-2025-9822.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9821","Mautic","cvelistV5/cves/2025/9xxx/CVE-2025-9821.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7381","Mautic","cvelistV5/cves/2025/7xxx/CVE-2025-7381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
