"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-20456","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20456.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20455","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20455.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20454","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20454.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20453","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20453.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20452","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20452.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20451","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20451.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20450","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20450.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20449","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20449.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20448","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20448.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20447","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20447.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20446","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20446.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20445","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20445.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20444","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20444.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20443","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20443.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20442","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20442.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20441","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20441.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20440","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20440.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20439","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20439.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20438","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20438.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20437","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20436","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20436.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20435","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20435.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20434","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20434.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20433","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20433.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20432","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20432.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20431","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20431.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20430","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20430.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20429","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20429.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20428","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20428.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20427","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20427.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20426","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20426.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20425","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20425.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20424","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20423","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20423.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20422","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20422.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20421","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20421.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20420","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20420.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20419","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20419.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20418","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20418.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20417","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20417.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20416","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20416.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20415","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20415.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20414","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20414.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20413","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20413.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20412","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20412.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20411","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20411.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20410","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20410.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20409","MediaTek","cvelistV5/cves/2026/20xxx/CVE-2026-20409.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
