"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-23870","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23870.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23869","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23868","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23868.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23866","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23866.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23865","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23865.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23864","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23863","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23863.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23863","Meta","cvelistV5/cves/2026/23xxx/CVE-2026-23863.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-67779","Meta","cvelistV5/cves/2025/67xxx/CVE-2025-67779.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55184","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55184.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55183","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55183.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55182","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55182.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55181","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55181.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55179","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55179.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55178","Meta","cvelistV5/cves/2025/55xxx/CVE-2025-55178.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
