"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-10831","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10831.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10831","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10831.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10831","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10831.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10829","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10829.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10829","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10829.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10829","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10829.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10828","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10828.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10828","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10828.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10828","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10828.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10825","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10825.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10825","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10825.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10825","Moxa","cvelistV5/cves/2026/10xxx/CVE-2026-10825.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9266","Moxa","cvelistV5/cves/2026/9xxx/CVE-2026-9266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
