"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-5397","OMRON","cvelistV5/cves/2026/5xxx/CVE-2026-5397.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5397","OMRON","cvelistV5/cves/2026/5xxx/CVE-2026-5397.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9818","OMRON","cvelistV5/cves/2025/9xxx/CVE-2025-9818.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9818","OMRON","cvelistV5/cves/2025/9xxx/CVE-2025-9818.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9818","OMRON","cvelistV5/cves/2025/9xxx/CVE-2025-9818.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9818","OMRON","cvelistV5/cves/2025/9xxx/CVE-2025-9818.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-1384","OMRON","cvelistV5/cves/2025/1xxx/CVE-2025-1384.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0591","OMRON","cvelistV5/cves/2025/0xxx/CVE-2025-0591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12298","OMRON","cvelistV5/cves/2024/12xxx/CVE-2024-12298.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12083","OMRON","cvelistV5/cves/2024/12xxx/CVE-2024-12083.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
