"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-48210","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48210.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48209","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48209.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48208","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48208.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48191","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48191.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48190","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48190.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48189","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48189.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48188","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48188.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-48187","OTRS","cvelistV5/cves/2026/48xxx/CVE-2026-48187.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6060","OTRS","cvelistV5/cves/2026/6xxx/CVE-2026-6060.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24391","OTRS","cvelistV5/cves/2025/24xxx/CVE-2025-24391.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24390","OTRS","cvelistV5/cves/2025/24xxx/CVE-2025-24390.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24389","OTRS","cvelistV5/cves/2025/24xxx/CVE-2025-24389.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24388","OTRS","cvelistV5/cves/2025/24xxx/CVE-2025-24388.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24387","OTRS","cvelistV5/cves/2025/24xxx/CVE-2025-24387.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43446","OTRS","cvelistV5/cves/2024/43xxx/CVE-2024-43446.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43445","OTRS","cvelistV5/cves/2024/43xxx/CVE-2024-43445.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43444","OTRS","cvelistV5/cves/2024/43xxx/CVE-2024-43444.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43443","OTRS","cvelistV5/cves/2024/43xxx/CVE-2024-43443.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43442","OTRS","cvelistV5/cves/2024/43xxx/CVE-2024-43442.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-23794","OTRS","cvelistV5/cves/2024/23xxx/CVE-2024-23794.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-23794","OTRS","cvelistV5/cves/2024/23xxx/CVE-2024-23794.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
