"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8296","Octopus","cvelistV5/cves/2026/8xxx/CVE-2026-8296.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8296","Octopus","cvelistV5/cves/2026/8xxx/CVE-2026-8296.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8296","Octopus","cvelistV5/cves/2026/8xxx/CVE-2026-8296.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4881","Octopus","cvelistV5/cves/2026/4xxx/CVE-2026-4881.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4881","Octopus","cvelistV5/cves/2026/4xxx/CVE-2026-4881.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4881","Octopus","cvelistV5/cves/2026/4xxx/CVE-2026-4881.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3237","Octopus","cvelistV5/cves/2026/3xxx/CVE-2026-3237.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3237","Octopus","cvelistV5/cves/2026/3xxx/CVE-2026-3237.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3237","Octopus","cvelistV5/cves/2026/3xxx/CVE-2026-3237.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3236","Octopus","cvelistV5/cves/2026/3xxx/CVE-2026-3236.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3236","Octopus","cvelistV5/cves/2026/3xxx/CVE-2026-3236.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0704","Octopus","cvelistV5/cves/2026/0xxx/CVE-2026-0704.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0704","Octopus","cvelistV5/cves/2026/0xxx/CVE-2026-0704.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0589","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0589.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0589","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0589.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0588","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0588.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0588","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0588.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0539","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0539.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0539","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0539.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0526","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0526.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0526","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0526.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0525","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0525.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0525","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0525.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0513","Octopus","cvelistV5/cves/2025/0xxx/CVE-2025-0513.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
