"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-25236","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25236.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-25235","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25235.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-25235","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25235.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-25235","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25235.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-25234","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25234.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-25231","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25231.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-25230","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25230.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-25229","Omnissa","cvelistV5/cves/2025/25xxx/CVE-2025-25229.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11468","Omnissa","cvelistV5/cves/2024/11xxx/CVE-2024-11468.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11467","Omnissa","cvelistV5/cves/2024/11xxx/CVE-2024-11467.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
