"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-53122","OpenNMS","cvelistV5/cves/2025/53xxx/CVE-2025-53122.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53121","OpenNMS","cvelistV5/cves/2025/53xxx/CVE-2025-53121.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40612","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40612.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40315","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40315.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40314","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40314.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40314","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40314.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40313","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40313.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40312","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40312.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40312","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40312.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40311","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40311.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-40311","OpenNMS","cvelistV5/cves/2023/40xxx/CVE-2023-40311.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0872","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0872.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0871","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0871.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0871","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0871.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0870","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0870.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0870","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0870.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0869","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0869.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0869","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0868","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0868.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0868","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0868.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0867","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0867.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0867","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0867.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0846","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0846.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0815","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0815.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0815","OpenNMS","cvelistV5/cves/2023/0xxx/CVE-2023-0815.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
