"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-3266","OpenText","cvelistV5/cves/2026/3xxx/CVE-2026-3266.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2123","OpenText","cvelistV5/cves/2026/2xxx/CVE-2026-2123.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1658","OpenText","cvelistV5/cves/2026/1xxx/CVE-2026-1658.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15610","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15579","OpenText","cvelistV5/cves/2025/15xxx/CVE-2025-15579.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12455","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12455.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12455","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12455.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12455","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12455.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12454","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12454.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12453","OpenText","cvelistV5/cves/2025/12xxx/CVE-2025-12453.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
