"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-40215","OpenVPN","cvelistV5/cves/2026/40xxx/CVE-2026-40215.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-35058","OpenVPN","cvelistV5/cves/2026/35xxx/CVE-2026-35058.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11604","OpenVPN","cvelistV5/cves/2026/11xxx/CVE-2026-11604.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9560","OpenVPN","cvelistV5/cves/2026/9xxx/CVE-2026-9560.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2738","OpenVPN","cvelistV5/cves/2026/2xxx/CVE-2026-2738.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-50055","OpenVPN","cvelistV5/cves/2025/50xxx/CVE-2025-50055.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-50054","OpenVPN","cvelistV5/cves/2025/50xxx/CVE-2025-50054.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-15497","OpenVPN","cvelistV5/cves/2025/15xxx/CVE-2025-15497.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13751","OpenVPN","cvelistV5/cves/2025/13xxx/CVE-2025-13751.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13086","OpenVPN","cvelistV5/cves/2025/13xxx/CVE-2025-13086.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12106","OpenVPN","cvelistV5/cves/2025/12xxx/CVE-2025-12106.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10680","OpenVPN","cvelistV5/cves/2025/10xxx/CVE-2025-10680.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3908","OpenVPN","cvelistV5/cves/2025/3xxx/CVE-2025-3908.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2704","OpenVPN","cvelistV5/cves/2025/2xxx/CVE-2025-2704.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-28882","OpenVPN","cvelistV5/cves/2024/28xxx/CVE-2024-28882.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27903","OpenVPN","cvelistV5/cves/2024/27xxx/CVE-2024-27903.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27459","OpenVPN","cvelistV5/cves/2024/27xxx/CVE-2024-27459.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
