"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-7824","PaperCut","cvelistV5/cves/2026/7xxx/CVE-2026-7824.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6418","PaperCut","cvelistV5/cves/2026/6xxx/CVE-2026-6418.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6180","PaperCut","cvelistV5/cves/2026/6xxx/CVE-2026-6180.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5115","PaperCut","cvelistV5/cves/2026/5xxx/CVE-2026-5115.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-5115","PaperCut","cvelistV5/cves/2026/5xxx/CVE-2026-5115.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4794","PaperCut","cvelistV5/cves/2026/4xxx/CVE-2026-4794.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9785","PaperCut","cvelistV5/cves/2025/9xxx/CVE-2025-9785.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9785","PaperCut","cvelistV5/cves/2025/9xxx/CVE-2025-9785.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-9672","PaperCut","cvelistV5/cves/2024/9xxx/CVE-2024-9672.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9672","PaperCut","cvelistV5/cves/2024/9xxx/CVE-2024-9672.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8405","PaperCut","cvelistV5/cves/2024/8xxx/CVE-2024-8405.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8405","PaperCut","cvelistV5/cves/2024/8xxx/CVE-2024-8405.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8404","PaperCut","cvelistV5/cves/2024/8xxx/CVE-2024-8404.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
