CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-46542,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46542.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46541,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46541.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46540,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46540.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46538,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46538.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46536,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46536.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46535,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46535.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46534,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46534.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46533,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46533.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46532,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46532.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46531,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46531.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46530,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46530.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46529,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46529.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46528,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46528.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46525,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46525.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46524,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46524.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46523,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46523.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46522,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46522.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46521,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46521.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46520,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46520.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46519,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46519.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46517,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46517.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46516,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46516.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46514,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46514.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46513,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46513.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46512,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46512.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46511,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46510,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46510.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46509,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46509.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46508,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46508.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
CVE-2025-46507,Patchstack,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46507.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "n/a"
