"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-12986","Payara","cvelistV5/cves/2026/12xxx/CVE-2026-12986.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12986","Payara","cvelistV5/cves/2026/12xxx/CVE-2026-12986.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12986","Payara","cvelistV5/cves/2026/12xxx/CVE-2026-12986.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12986","Payara","cvelistV5/cves/2026/12xxx/CVE-2026-12986.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12986","Payara","cvelistV5/cves/2026/12xxx/CVE-2026-12986.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14340","Payara","cvelistV5/cves/2025/14xxx/CVE-2025-14340.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14340","Payara","cvelistV5/cves/2025/14xxx/CVE-2025-14340.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-45687","Payara","cvelistV5/cves/2024/45xxx/CVE-2024-45687.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-45687","Payara","cvelistV5/cves/2024/45xxx/CVE-2024-45687.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8215","Payara","cvelistV5/cves/2024/8xxx/CVE-2024-8215.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8097","Payara","cvelistV5/cves/2024/8xxx/CVE-2024-8097.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-7312","Payara","cvelistV5/cves/2024/7xxx/CVE-2024-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-41699","Payara","cvelistV5/cves/2023/41xxx/CVE-2023-41699.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
