"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-29980","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29980.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29980","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29980.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29980","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29980.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29980","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29980.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29980","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29980.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29979","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29979.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29979","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29979.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29979","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29979.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-29979","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29979.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-29979","Phoenix","cvelistV5/cves/2024/29xxx/CVE-2024-29979.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12533","Phoenix","cvelistV5/cves/2024/12xxx/CVE-2024-12533.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12533","Phoenix","cvelistV5/cves/2024/12xxx/CVE-2024-12533.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12533","Phoenix","cvelistV5/cves/2024/12xxx/CVE-2024-12533.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12533","Phoenix","cvelistV5/cves/2024/12xxx/CVE-2024-12533.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
