"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-27935","Ping Identity","cvelistV5/cves/2025/27xxx/CVE-2025-27935.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27935","Ping Identity","cvelistV5/cves/2025/27xxx/CVE-2025-27935.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-26862","Ping Identity","cvelistV5/cves/2025/26xxx/CVE-2025-26862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22854","Ping Identity","cvelistV5/cves/2025/22xxx/CVE-2025-22854.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-22854","Ping Identity","cvelistV5/cves/2025/22xxx/CVE-2025-22854.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-21085","Ping Identity","cvelistV5/cves/2025/21xxx/CVE-2025-21085.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-21085","Ping Identity","cvelistV5/cves/2025/21xxx/CVE-2025-21085.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-21085","Ping Identity","cvelistV5/cves/2025/21xxx/CVE-2025-21085.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-21085","Ping Identity","cvelistV5/cves/2025/21xxx/CVE-2025-21085.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-21085","Ping Identity","cvelistV5/cves/2025/21xxx/CVE-2025-21085.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-20628","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20628.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-20059","Ping Identity","cvelistV5/cves/2025/20xxx/CVE-2025-20059.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25573","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25573.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25573","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25573.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25573","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25573.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25573","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25573.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25573","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25573.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25566","Ping Identity","cvelistV5/cves/2024/25xxx/CVE-2024-25566.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-23983","Ping Identity","cvelistV5/cves/2024/23xxx/CVE-2024-23983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23983","Ping Identity","cvelistV5/cves/2024/23xxx/CVE-2024-23983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
