"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-13455","PostgreSQL","cvelistV5/cves/2026/13xxx/CVE-2026-13455.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12050","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12050.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12050","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12050.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12049","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12049.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12049","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12049.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12048","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12048.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12048","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12048.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12047","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12047.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12047","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12047.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12046","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12046.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12046","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12046.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12045","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12045.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12045","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12045.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12044","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12044.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12044","PostgreSQL","cvelistV5/cves/2026/12xxx/CVE-2026-12044.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11945","PostgreSQL","cvelistV5/cves/2026/11xxx/CVE-2026-11945.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9617","PostgreSQL","cvelistV5/cves/2026/9xxx/CVE-2026-9617.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7820","PostgreSQL","cvelistV5/cves/2026/7xxx/CVE-2026-7820.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7820","PostgreSQL","cvelistV5/cves/2026/7xxx/CVE-2026-7820.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7819","PostgreSQL","cvelistV5/cves/2026/7xxx/CVE-2026-7819.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
