"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8488","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8488.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8487","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8487.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8486","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8486.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8485","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8485.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8037","ProgressSoftware","cvelistV5/cves/2026/8xxx/CVE-2026-8037.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7313","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7313.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7313","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7313.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7312","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7312.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7201","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7201.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7201","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7201","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7201","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7198","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7198.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7198","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7198.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7195","ProgressSoftware","cvelistV5/cves/2026/7xxx/CVE-2026-7195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6023","ProgressSoftware","cvelistV5/cves/2026/6xxx/CVE-2026-6023.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6023","ProgressSoftware","cvelistV5/cves/2026/6xxx/CVE-2026-6023.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6022","ProgressSoftware","cvelistV5/cves/2026/6xxx/CVE-2026-6022.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6022","ProgressSoftware","cvelistV5/cves/2026/6xxx/CVE-2026-6022.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5174","ProgressSoftware","cvelistV5/cves/2026/5xxx/CVE-2026-5174.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4670","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4670.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4048","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4048.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4048","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4048.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4048","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4048.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4048","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4048.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4048","ProgressSoftware","cvelistV5/cves/2026/4xxx/CVE-2026-4048.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3692","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3692.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3692","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3692.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3519","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3519.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3519","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3519.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3519","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3519.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3519","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3519.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3519","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3519.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3518","ProgressSoftware","cvelistV5/cves/2026/3xxx/CVE-2026-3518.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
