"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-8558","Proofpoint","cvelistV5/cves/2025/8xxx/CVE-2025-8558.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0431","Proofpoint","cvelistV5/cves/2025/0xxx/CVE-2025-0431.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10635","Proofpoint","cvelistV5/cves/2024/10xxx/CVE-2024-10635.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-3676","Proofpoint","cvelistV5/cves/2024/3xxx/CVE-2024-3676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0862","Proofpoint","cvelistV5/cves/2024/0xxx/CVE-2024-0862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-36002","Proofpoint","cvelistV5/cves/2023/36xxx/CVE-2023-36002.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-36001","Proofpoint","cvelistV5/cves/2023/36xxx/CVE-2023-36001.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-36000","Proofpoint","cvelistV5/cves/2023/36xxx/CVE-2023-36000.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-35999","Proofpoint","cvelistV5/cves/2023/35xxx/CVE-2023-35999.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-35998","Proofpoint","cvelistV5/cves/2023/35xxx/CVE-2023-35998.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5771","Proofpoint","cvelistV5/cves/2023/5xxx/CVE-2023-5771.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
