"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.10.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.8.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.6.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.7.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.9.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-43079","Qualys","cvelistV5/cves/2025/43xxx/CVE-2025-43079.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-28143","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28143.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-28143","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28143.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-28143","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28143.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-28142","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28142.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-28142","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28142.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-28142","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28142.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-28141","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28141.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-28141","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28141.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-28141","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28141.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-28140","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28140.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-28140","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28140.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-28140","Qualys","cvelistV5/cves/2023/28xxx/CVE-2023-28140.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6149","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6149.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6149","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6149.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-6149","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6149.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6148","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6148.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6148","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6148.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-6147","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6147.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6147","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6147.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-6146","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6146.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6146","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6146.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-6146","Qualys","cvelistV5/cves/2023/6xxx/CVE-2023-6146.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-4777","Qualys","cvelistV5/cves/2023/4xxx/CVE-2023-4777.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-4777","Qualys","cvelistV5/cves/2023/4xxx/CVE-2023-4777.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-4777","Qualys","cvelistV5/cves/2023/4xxx/CVE-2023-4777.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
