"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-21920","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21920.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21919","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21919.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21918","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21918.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21916","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21916.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21915","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21915.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21914","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21914.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21913","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21913.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21912","Rockwell","cvelistV5/cves/2024/21xxx/CVE-2024-21912.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-3493","Rockwell","cvelistV5/cves/2024/3xxx/CVE-2024-3493.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2929","Rockwell","cvelistV5/cves/2024/2xxx/CVE-2024-2929.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2427","Rockwell","cvelistV5/cves/2024/2xxx/CVE-2024-2427.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2426","Rockwell","cvelistV5/cves/2024/2xxx/CVE-2024-2426.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2425","Rockwell","cvelistV5/cves/2024/2xxx/CVE-2024-2425.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2424","Rockwell","cvelistV5/cves/2024/2xxx/CVE-2024-2424.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46290","Rockwell","cvelistV5/cves/2023/46xxx/CVE-2023-46290.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-46289","Rockwell","cvelistV5/cves/2023/46xxx/CVE-2023-46289.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29464","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29464.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29463","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29463.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29462","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29462.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29461","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29461.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29460","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29460.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29031","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29031.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29030","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29030.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29029","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29029.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29028","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29028.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29027","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29027.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-29026","Rockwell","cvelistV5/cves/2023/29xxx/CVE-2023-29026.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
