"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-22544","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22544.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22543","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22543.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22542","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22542.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22541","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22541.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22540","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22540.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22539","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22539.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22537","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22537.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22536","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22536.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22535","S21sec","cvelistV5/cves/2026/22xxx/CVE-2026-22535.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-64389","S21sec","cvelistV5/cves/2025/64xxx/CVE-2025-64389.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-64388","S21sec","cvelistV5/cves/2025/64xxx/CVE-2025-64388.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-64387","S21sec","cvelistV5/cves/2025/64xxx/CVE-2025-64387.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-64386","S21sec","cvelistV5/cves/2025/64xxx/CVE-2025-64386.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-64385","S21sec","cvelistV5/cves/2025/64xxx/CVE-2025-64385.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11155","S21sec","cvelistV5/cves/2025/11xxx/CVE-2025-11155.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
