CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-59109,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59109.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<SW0039"
CVE-2025-59108,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59108.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K7: <BAME 04.07.268"
CVE-2025-59108,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59108.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K5: All versions"
CVE-2025-59107,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59107.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "All versions"
CVE-2025-59106,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59106.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-k7: <BAME 06.00"
CVE-2025-59105,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59105.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K7: <BAME 06.00"
CVE-2025-59105,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59105.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K5: All versions"
CVE-2025-59104,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59104.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-k7: <BAME 06.00"
CVE-2025-59103,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59103.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K5: <BAME 05.01.88"
CVE-2025-59102,SEC-VLab,/home/runner/.cache/cvelint/cvelistV5/cves/2025/59xxx/CVE-2025-59102.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "92xx-K5: <XAMB 04.06.212"
