"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-48018","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48018.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48017","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48017.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48016","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48016.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48016","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48016.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48015","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48015.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-48014","SEL","cvelistV5/cves/2025/48xxx/CVE-2025-48014.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46750","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46750.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46750","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46750.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46750","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46750.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46749","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46749.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46748","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46748.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46747","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46747.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46746","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46746.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46745","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46745.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46744","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46744.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46743","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46743.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46742","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46742.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46741","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46741.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46740","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46740.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46739","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46739.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46738","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46738.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-46737","SEL","cvelistV5/cves/2025/46xxx/CVE-2025-46737.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2103","SEL","cvelistV5/cves/2024/2xxx/CVE-2024-2103.json","check-custom-version-type","E011","containers.cna.affected.3.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-34392","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34392.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-34392","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34392.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34391","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34391.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-34391","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34391.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34390","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-34390","SEL","cvelistV5/cves/2023/34xxx/CVE-2023-34390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
