"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8993","SK-CERT","cvelistV5/cves/2026/8xxx/CVE-2026-8993.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8993","SK-CERT","cvelistV5/cves/2026/8xxx/CVE-2026-8993.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8931","SK-CERT","cvelistV5/cves/2026/8xxx/CVE-2026-8931.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8931","SK-CERT","cvelistV5/cves/2026/8xxx/CVE-2026-8931.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.event","Timeline entry must have an 'event' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-3511","SK-CERT","cvelistV5/cves/2026/3xxx/CVE-2026-3511.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1077","SK-CERT","cvelistV5/cves/2025/1xxx/CVE-2025-1077.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.3.event","Timeline entry must have an 'event' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.event","Timeline entry must have an 'event' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.3.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-3263","SK-CERT","cvelistV5/cves/2024/3xxx/CVE-2024-3263.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
