"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-15067","SNOWFLAKE","cvelistV5/cves/2026/15xxx/CVE-2026-15067.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-15062","SNOWFLAKE","cvelistV5/cves/2026/15xxx/CVE-2026-15062.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13752","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13752.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13751","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13751.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13750","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13750.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13749","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13749.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13748","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13748.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13746","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13746.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13744","SNOWFLAKE","cvelistV5/cves/2026/13xxx/CVE-2026-13744.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6442","SNOWFLAKE","cvelistV5/cves/2026/6xxx/CVE-2026-6442.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6442","SNOWFLAKE","cvelistV5/cves/2026/6xxx/CVE-2026-6442.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
