"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-8796","SNPS","cvelistV5/cves/2024/8xxx/CVE-2024-8796.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8796","SNPS","cvelistV5/cves/2024/8xxx/CVE-2024-8796.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8796","SNPS","cvelistV5/cves/2024/8xxx/CVE-2024-8796.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.3.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.3.event","Timeline entry must have an 'event' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.2.event","Timeline entry must have an 'event' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5185","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5185.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-5184","SNPS","cvelistV5/cves/2024/5xxx/CVE-2024-5184.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0227","SNPS","cvelistV5/cves/2024/0xxx/CVE-2024-0227.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0226","SNPS","cvelistV5/cves/2024/0xxx/CVE-2024-0226.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0226","SNPS","cvelistV5/cves/2024/0xxx/CVE-2024-0226.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-25828","SNPS","cvelistV5/cves/2023/25xxx/CVE-2023-25828.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-25828","SNPS","cvelistV5/cves/2023/25xxx/CVE-2023-25828.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-25828","SNPS","cvelistV5/cves/2023/25xxx/CVE-2023-25828.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-25827","SNPS","cvelistV5/cves/2023/25xxx/CVE-2023-25827.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-25827","SNPS","cvelistV5/cves/2023/25xxx/CVE-2023-25827.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
