"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-14859","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14859.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14859","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14859.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14859","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14859.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14858","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14858.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14858","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14858.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14858","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14858.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14857","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14857.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14857","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14857.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14857","SWI","cvelistV5/cves/2025/14xxx/CVE-2025-14857.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-40465","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40465.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40464","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40464.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40463","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40463.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40461","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40461.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40460","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40460.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40459","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40459.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40459","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40459.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-40459","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40459.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-40458","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40458.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-40458","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40458.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-40458","SWI","cvelistV5/cves/2023/40xxx/CVE-2023-40458.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
