"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-21518","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21518.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21517","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21517.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21516","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21516.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21515","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21515.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21514","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21514.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21513","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21513.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21512","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21512.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21511","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21511.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21510","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21510.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21509","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21509.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21508","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21508.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21507","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21506","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21506.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21505","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21505.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21504","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21504.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21503","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21503.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21502","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21502.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21501","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21501.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21500","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21500.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21499","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21499.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21498","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21498.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21497","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21497.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21496","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21496.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21495","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21495.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21494","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21494.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21493","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21493.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21492","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21492.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21491","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21491.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21490","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21490.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21489","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21489.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21488","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21488.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21487","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21487.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21486","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21486.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-21485","Samsung Mobile","cvelistV5/cves/2023/21xxx/CVE-2023-21485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
