"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-48604","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48604.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48603","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48603.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48602","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48602.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48601","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48601.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48600","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48600.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48599","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48599.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48598","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48598.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48597","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48597.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48596","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48596.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48595","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48595.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48594","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48594.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48593","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48593.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48592","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48592.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48591","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48590","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48590.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48589","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48589.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48588","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48588.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48587","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48587.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48586","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48586.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48585","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48585.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48584","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48584.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48583","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48583.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48582","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48582.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48581","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48581.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-48580","Securifera","cvelistV5/cves/2022/48xxx/CVE-2022-48580.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
