"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8676","Silabs","cvelistV5/cves/2026/8xxx/CVE-2026-8676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3290","Silabs","cvelistV5/cves/2026/3xxx/CVE-2026-3290.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0619","Silabs","cvelistV5/cves/2026/0xxx/CVE-2026-0619.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14972","Silabs","cvelistV5/cves/2025/14xxx/CVE-2025-14972.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14547","Silabs","cvelistV5/cves/2025/14xxx/CVE-2025-14547.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14055","Silabs","cvelistV5/cves/2025/14xxx/CVE-2025-14055.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12986","Silabs","cvelistV5/cves/2025/12xxx/CVE-2025-12986.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12131","Silabs","cvelistV5/cves/2025/12xxx/CVE-2025-12131.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11571","Silabs","cvelistV5/cves/2025/11xxx/CVE-2025-11571.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11004","Silabs","cvelistV5/cves/2025/11xxx/CVE-2025-11004.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10933","Silabs","cvelistV5/cves/2025/10xxx/CVE-2025-10933.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10693","Silabs","cvelistV5/cves/2025/10xxx/CVE-2025-10693.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10693","Silabs","cvelistV5/cves/2025/10xxx/CVE-2025-10693.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10285","Silabs","cvelistV5/cves/2025/10xxx/CVE-2025-10285.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8414","Silabs","cvelistV5/cves/2025/8xxx/CVE-2025-8414.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8414","Silabs","cvelistV5/cves/2025/8xxx/CVE-2025-8414.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-8414","Silabs","cvelistV5/cves/2025/8xxx/CVE-2025-8414.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8414","Silabs","cvelistV5/cves/2025/8xxx/CVE-2025-8414.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7964","Silabs","cvelistV5/cves/2025/7xxx/CVE-2025-7964.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7448","Silabs","cvelistV5/cves/2025/7xxx/CVE-2025-7448.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7432","Silabs","cvelistV5/cves/2025/7xxx/CVE-2025-7432.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4321","Silabs","cvelistV5/cves/2025/4xxx/CVE-2025-4321.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3873","Silabs","cvelistV5/cves/2025/3xxx/CVE-2025-3873.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3301","Silabs","cvelistV5/cves/2025/3xxx/CVE-2025-3301.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3301","Silabs","cvelistV5/cves/2025/3xxx/CVE-2025-3301.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2329","Silabs","cvelistV5/cves/2025/2xxx/CVE-2025-2329.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1394","Silabs","cvelistV5/cves/2025/1xxx/CVE-2025-1394.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1221","Silabs","cvelistV5/cves/2025/1xxx/CVE-2025-1221.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-22473","Silabs","cvelistV5/cves/2024/22xxx/CVE-2024-22473.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-22472","Silabs","cvelistV5/cves/2024/22xxx/CVE-2024-22472.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-22472","Silabs","cvelistV5/cves/2024/22xxx/CVE-2024-22472.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-12975","Silabs","cvelistV5/cves/2024/12xxx/CVE-2024-12975.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10106","Silabs","cvelistV5/cves/2024/10xxx/CVE-2024-10106.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9499","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9499.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9498","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9498.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9497","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9497.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9496","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9496.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9495","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9495.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9494","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9494.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9493","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9493.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9492","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9491","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9491.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9490","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9490.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9055","Silabs","cvelistV5/cves/2024/9xxx/CVE-2024-9055.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8361","Silabs","cvelistV5/cves/2024/8xxx/CVE-2024-8361.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7322","Silabs","cvelistV5/cves/2024/7xxx/CVE-2024-7322.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7139","Silabs","cvelistV5/cves/2024/7xxx/CVE-2024-7139.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7138","Silabs","cvelistV5/cves/2024/7xxx/CVE-2024-7138.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7137","Silabs","cvelistV5/cves/2024/7xxx/CVE-2024-7137.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6657","Silabs","cvelistV5/cves/2024/6xxx/CVE-2024-6657.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
