"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-4129","Snow","cvelistV5/cves/2024/4xxx/CVE-2024-4129.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4129","Snow","cvelistV5/cves/2024/4xxx/CVE-2024-4129.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4129","Snow","cvelistV5/cves/2024/4xxx/CVE-2024-4129.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1150","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1150.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1150","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1150.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1150","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1150.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1149","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1149.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1149","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1149.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1149","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1149.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1149","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1149.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1149","Snow","cvelistV5/cves/2024/1xxx/CVE-2024-1149.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-7169","Snow","cvelistV5/cves/2023/7xxx/CVE-2023-7169.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-7169","Snow","cvelistV5/cves/2023/7xxx/CVE-2023-7169.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3937","Snow","cvelistV5/cves/2023/3xxx/CVE-2023-3937.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3864","Snow","cvelistV5/cves/2023/3xxx/CVE-2023-3864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2679","Snow","cvelistV5/cves/2023/2xxx/CVE-2023-2679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-0883","Snow","cvelistV5/cves/2022/0xxx/CVE-2022-0883.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-41562","Snow","cvelistV5/cves/2021/41xxx/CVE-2021-41562.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-41562","Snow","cvelistV5/cves/2021/41xxx/CVE-2021-41562.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-41562","Snow","cvelistV5/cves/2021/41xxx/CVE-2021-41562.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-4114","Snow","cvelistV5/cves/2021/4xxx/CVE-2021-4114.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-4113","Snow","cvelistV5/cves/2021/4xxx/CVE-2021-4113.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-4106","Snow","cvelistV5/cves/2021/4xxx/CVE-2021-4106.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
