"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-13406","Softing","cvelistV5/cves/2025/13xxx/CVE-2025-13406.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13406","Softing","cvelistV5/cves/2025/13xxx/CVE-2025-13406.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13406","Softing","cvelistV5/cves/2025/13xxx/CVE-2025-13406.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10685","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10685.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10685","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10685.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10685","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10685.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10685","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10685.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10685","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10685.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10461","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10461.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10461","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10461.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10461","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10461.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10461","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10461.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10151","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10151.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10151","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10151.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10151","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10151.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10150","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10150.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10150","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10150.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10150","Softing","cvelistV5/cves/2025/10xxx/CVE-2025-10150.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.2.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7390","Softing","cvelistV5/cves/2025/7xxx/CVE-2025-7390.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-14028","Softing","cvelistV5/cves/2024/14xxx/CVE-2024-14028.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-14028","Softing","cvelistV5/cves/2024/14xxx/CVE-2024-14028.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-14028","Softing","cvelistV5/cves/2024/14xxx/CVE-2024-14028.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
