CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-26400,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26400.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "12.8.6 and previous versions"
CVE-2025-26399,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26399.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "12.8.7 and below"
CVE-2025-26398,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26398.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2025.2 and below"
CVE-2025-26397,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26397.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2025.2 and previous versions"
CVE-2025-26396,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26396.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "12.3.1.20 and prior versions"
CVE-2025-26395,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26395.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2025.1.1 and previous versions"
CVE-2025-26394,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26394.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2025.1.1 and previous versions"
CVE-2025-26392,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2025/26xxx/CVE-2025-26392.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2025.2.1 and below"
CVE-2024-52612,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52612.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2024.4.1 and previous versions"
CVE-2024-52611,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52611.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2024.4.1 and previous versions"
CVE-2024-52606,SolarWinds,/home/runner/.cache/cvelint/cvelistV5/cves/2024/52xxx/CVE-2024-52606.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2024.4.1 and previous versions"
