"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-22621","Splunk","cvelistV5/cves/2025/22xxx/CVE-2025-22621.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0367","Splunk","cvelistV5/cves/2025/0xxx/CVE-2025-0367.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53247","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53247.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53247","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53247.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53247","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53247.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53247","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53247.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53247","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53247.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.1.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53246","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53246.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53245","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53245.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53245","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53245.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53245","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53245.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53244","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53244.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53244","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53244.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53244","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53244.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53244","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53244.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-53244","Splunk","cvelistV5/cves/2024/53xxx/CVE-2024-53244.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
