"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-3820","Supermicro","cvelistV5/cves/2026/3xxx/CVE-2026-3820.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12007","Supermicro","cvelistV5/cves/2025/12xxx/CVE-2025-12007.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12006","Supermicro","cvelistV5/cves/2025/12xxx/CVE-2025-12006.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8727","Supermicro","cvelistV5/cves/2025/8xxx/CVE-2025-8727.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8404","Supermicro","cvelistV5/cves/2025/8xxx/CVE-2025-8404.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8076","Supermicro","cvelistV5/cves/2025/8xxx/CVE-2025-8076.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7937","Supermicro","cvelistV5/cves/2025/7xxx/CVE-2025-7937.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7704","Supermicro","cvelistV5/cves/2025/7xxx/CVE-2025-7704.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7623","Supermicro","cvelistV5/cves/2025/7xxx/CVE-2025-7623.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6198","Supermicro","cvelistV5/cves/2025/6xxx/CVE-2025-6198.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10239","Supermicro","cvelistV5/cves/2024/10xxx/CVE-2024-10239.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10238","Supermicro","cvelistV5/cves/2024/10xxx/CVE-2024-10238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10237","Supermicro","cvelistV5/cves/2024/10xxx/CVE-2024-10237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
