"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-11772","Synaptics","cvelistV5/cves/2025/11xxx/CVE-2025-11772.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11772","Synaptics","cvelistV5/cves/2025/11xxx/CVE-2025-11772.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11772","Synaptics","cvelistV5/cves/2025/11xxx/CVE-2025-11772.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-9157","Synaptics","cvelistV5/cves/2024/9xxx/CVE-2024-9157.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-9157","Synaptics","cvelistV5/cves/2024/9xxx/CVE-2024-9157.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-9157","Synaptics","cvelistV5/cves/2024/9xxx/CVE-2024-9157.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9157","Synaptics","cvelistV5/cves/2024/9xxx/CVE-2024-9157.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-6482","Synaptics","cvelistV5/cves/2023/6xxx/CVE-2023-6482.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6482","Synaptics","cvelistV5/cves/2023/6xxx/CVE-2023-6482.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5447","Synaptics","cvelistV5/cves/2023/5xxx/CVE-2023-5447.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5447","Synaptics","cvelistV5/cves/2023/5xxx/CVE-2023-5447.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5447","Synaptics","cvelistV5/cves/2023/5xxx/CVE-2023-5447.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-4936","Synaptics","cvelistV5/cves/2023/4xxx/CVE-2023-4936.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-4936","Synaptics","cvelistV5/cves/2023/4xxx/CVE-2023-4936.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3676","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.10.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-3675","Synaptics","cvelistV5/cves/2021/3xxx/CVE-2021-3675.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
