"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-10510","TECNOMobile","cvelistV5/cves/2026/10xxx/CVE-2026-10510.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0634","TECNOMobile","cvelistV5/cves/2026/0xxx/CVE-2026-0634.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-15385","TECNOMobile","cvelistV5/cves/2025/15xxx/CVE-2025-15385.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14817","TECNOMobile","cvelistV5/cves/2025/14xxx/CVE-2025-14817.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9056","TECNOMobile","cvelistV5/cves/2025/9xxx/CVE-2025-9056.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7703","TECNOMobile","cvelistV5/cves/2025/7xxx/CVE-2025-7703.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6172","TECNOMobile","cvelistV5/cves/2025/6xxx/CVE-2025-6172.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4737","TECNOMobile","cvelistV5/cves/2025/4xxx/CVE-2025-4737.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4737","TECNOMobile","cvelistV5/cves/2025/4xxx/CVE-2025-4737.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3698","TECNOMobile","cvelistV5/cves/2025/3xxx/CVE-2025-3698.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2190","TECNOMobile","cvelistV5/cves/2025/2xxx/CVE-2025-2190.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2190","TECNOMobile","cvelistV5/cves/2025/2xxx/CVE-2025-2190.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1298","TECNOMobile","cvelistV5/cves/2025/1xxx/CVE-2025-1298.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0590","TECNOMobile","cvelistV5/cves/2025/0xxx/CVE-2025-0590.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12603","TECNOMobile","cvelistV5/cves/2024/12xxx/CVE-2024-12603.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12603","TECNOMobile","cvelistV5/cves/2024/12xxx/CVE-2024-12603.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11206","TECNOMobile","cvelistV5/cves/2024/11xxx/CVE-2024-11206.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11206","TECNOMobile","cvelistV5/cves/2024/11xxx/CVE-2024-11206.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-10018","TECNOMobile","cvelistV5/cves/2024/10xxx/CVE-2024-10018.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-10018","TECNOMobile","cvelistV5/cves/2024/10xxx/CVE-2024-10018.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8039","TECNOMobile","cvelistV5/cves/2024/8xxx/CVE-2024-8039.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7697","TECNOMobile","cvelistV5/cves/2024/7xxx/CVE-2024-7697.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6780","TECNOMobile","cvelistV5/cves/2024/6xxx/CVE-2024-6780.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5163","TECNOMobile","cvelistV5/cves/2024/5xxx/CVE-2024-5163.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4988","TECNOMobile","cvelistV5/cves/2024/4xxx/CVE-2024-4988.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-3701","TECNOMobile","cvelistV5/cves/2024/3xxx/CVE-2024-3701.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
