"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-5591","TML","cvelistV5/cves/2025/5xxx/CVE-2025-5591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2394","TML","cvelistV5/cves/2025/2xxx/CVE-2025-2394.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-28097","TML","cvelistV5/cves/2024/28xxx/CVE-2024-28097.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-28096","TML","cvelistV5/cves/2024/28xxx/CVE-2024-28096.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-28095","TML","cvelistV5/cves/2024/28xxx/CVE-2024-28095.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-28094","TML","cvelistV5/cves/2024/28xxx/CVE-2024-28094.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12223","TML","cvelistV5/cves/2024/12xxx/CVE-2024-12223.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12223","TML","cvelistV5/cves/2024/12xxx/CVE-2024-12223.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-27377","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27377.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27376","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27376.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27375","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27375.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27262","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27262.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-27262","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27261","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27261.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27260","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27260.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27260","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27260.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-27259","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27258","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27257","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27257.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27256","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27255","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-27255","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27255.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-27254","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27254.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-27254","TML","cvelistV5/cves/2023/27xxx/CVE-2023-27254.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-26584","TML","cvelistV5/cves/2023/26xxx/CVE-2023-26584.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-26584","TML","cvelistV5/cves/2023/26xxx/CVE-2023-26584.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
