"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-34127","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34127.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34127","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34127.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34126","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34126.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34126","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34126.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34126","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34126.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34126","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34126.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34126","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34126.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34124","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34124.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34124","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34124.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34123","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34123.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34123","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34123.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34122","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34122.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34122","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34122.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34121","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34121.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34121","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34121.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34120","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34120.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34120","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34120.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34119","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34119.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-34119","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34119.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34118","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34118.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-34118","TPLink","cvelistV5/cves/2026/34xxx/CVE-2026-34118.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30818","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30818.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30818","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30818.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30817","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30817.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30817","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30817.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30816","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30816.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30816","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30816.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30815","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30815.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30815","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30815.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30814","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30814.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30814","TPLink","cvelistV5/cves/2026/30xxx/CVE-2026-30814.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22229","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22229.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22229","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22229.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22229","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22229.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22228","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22228.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22228","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22228.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22227","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22227.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22227","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22227.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22226","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22226.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22226","TPLink","cvelistV5/cves/2026/22xxx/CVE-2026-22226.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
