"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-6400","TR-CERT","cvelistV5/cves/2024/6xxx/CVE-2024-6400.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2024-2865","TR-CERT","cvelistV5/cves/2024/2xxx/CVE-2024-2865.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1202","TR-CERT","cvelistV5/cves/2024/1xxx/CVE-2024-1202.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35072","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35072.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35071","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35071.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35070","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35070.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35069","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35069.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35068","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35068.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35067","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35067.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35066","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35066.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35065","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35065.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-35064","TR-CERT","cvelistV5/cves/2023/35xxx/CVE-2023-35064.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-4831","TR-CERT","cvelistV5/cves/2023/4xxx/CVE-2023-4831.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3631","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3631.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3616","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3616.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3522","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3522.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3386","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3386.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3377","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3377.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3376","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3376.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3375","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3375.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3374","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3374.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3319","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3319.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3050","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3050.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3049","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3049.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3048","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3048.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3047","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3047.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3046","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3046.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3045","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3045.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3000","TR-CERT","cvelistV5/cves/2023/3xxx/CVE-2023-3000.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-2963","TR-CERT","cvelistV5/cves/2023/2xxx/CVE-2023-2963.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
