"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-23572","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23572.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23572","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23572.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23572","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23572.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23572","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23572.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23571","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23571.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23571","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23571.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23570","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23570.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23570","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23570.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23569","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23569.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23569","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23569.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23568","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23568.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-23568","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23568.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23567","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23567.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23567","TV","cvelistV5/cves/2026/23xxx/CVE-2026-23567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
