"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-49742","TYPO3","cvelistV5/cves/2026/49xxx/CVE-2026-49742.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49741","TYPO3","cvelistV5/cves/2026/49xxx/CVE-2026-49741.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49740","TYPO3","cvelistV5/cves/2026/49xxx/CVE-2026-49740.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-49738","TYPO3","cvelistV5/cves/2026/49xxx/CVE-2026-49738.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47352","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47352.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47351","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47351.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47350","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47350.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47349","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47349.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47348","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47348.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47347","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47347.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47346","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47346.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47345","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47345.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47344","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47344.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-47343","TYPO3","cvelistV5/cves/2026/47xxx/CVE-2026-47343.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-46725","TYPO3","cvelistV5/cves/2026/46xxx/CVE-2026-46725.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-46724","TYPO3","cvelistV5/cves/2026/46xxx/CVE-2026-46724.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-46723","TYPO3","cvelistV5/cves/2026/46xxx/CVE-2026-46723.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-46722","TYPO3","cvelistV5/cves/2026/46xxx/CVE-2026-46722.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-46721","TYPO3","cvelistV5/cves/2026/46xxx/CVE-2026-46721.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11607","TYPO3","cvelistV5/cves/2026/11xxx/CVE-2026-11607.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8827","TYPO3","cvelistV5/cves/2026/8xxx/CVE-2026-8827.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8727","TYPO3","cvelistV5/cves/2026/8xxx/CVE-2026-8727.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8726","TYPO3","cvelistV5/cves/2026/8xxx/CVE-2026-8726.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6553","TYPO3","cvelistV5/cves/2026/6xxx/CVE-2026-6553.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4208","TYPO3","cvelistV5/cves/2026/4xxx/CVE-2026-4208.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4202","TYPO3","cvelistV5/cves/2026/4xxx/CVE-2026-4202.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1323","TYPO3","cvelistV5/cves/2026/1xxx/CVE-2026-1323.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0895","TYPO3","cvelistV5/cves/2026/0xxx/CVE-2026-0895.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
