"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-5724","Temporal","cvelistV5/cves/2026/5xxx/CVE-2026-5724.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5199","Temporal","cvelistV5/cves/2026/5xxx/CVE-2026-5199.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14987","Temporal","cvelistV5/cves/2025/14xxx/CVE-2025-14987.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14986","Temporal","cvelistV5/cves/2025/14xxx/CVE-2025-14986.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8396","Temporal","cvelistV5/cves/2025/8xxx/CVE-2025-8396.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1243","Temporal","cvelistV5/cves/2025/1xxx/CVE-2025-1243.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2689","Temporal","cvelistV5/cves/2024/2xxx/CVE-2024-2689.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2689","Temporal","cvelistV5/cves/2024/2xxx/CVE-2024-2689.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2435","Temporal","cvelistV5/cves/2024/2xxx/CVE-2024-2435.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2435","Temporal","cvelistV5/cves/2024/2xxx/CVE-2024-2435.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3485","Temporal","cvelistV5/cves/2023/3xxx/CVE-2023-3485.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3485","Temporal","cvelistV5/cves/2023/3xxx/CVE-2023-3485.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
