"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-27180","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27180.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27180","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27180.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27180","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27180.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27179","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27179.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27179","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27179.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27179","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27179.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27178","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27178.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27178","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27178.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27178","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27178.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27177","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27177.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27177","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27177.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27177","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27177.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27176","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27176.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27176","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27176.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27176","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27176.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27175","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27175.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27175","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27175.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27175","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27175.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27174","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27174.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27174","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27174.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27174","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27174.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27173","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27173.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27173","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27173.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27173","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27173.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27172","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27172.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27172","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27172.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27172","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27172.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27171","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27171.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27171","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27171.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27171","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27171.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27170","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27170.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27170","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27170.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27170","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27170.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27169","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27169.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27169","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27169.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27169","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27169.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27168","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27168.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2024-27168","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27168.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-27168","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27168.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27167","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27167.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2024-27167","Toshiba","cvelistV5/cves/2024/27xxx/CVE-2024-27167.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
