"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-72594","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72594.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72594","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72594.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72594","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72594.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72594","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72594.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72593","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72593.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72593","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72593.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72593","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72593.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72593","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72593.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72592","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72592.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72592","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72592.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72592","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72592.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72592","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72592.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72591","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72591.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72591","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72591.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72591","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72591.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72591","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72591.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72590","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72590.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72590","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72590.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72590","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72590.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72590","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72590.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72589","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72589.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72589","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72589.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72589","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72589.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72589","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72589.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72588","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72588.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72588","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72588.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72588","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72588.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72588","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72588.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72587","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72587.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72587","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72587.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72587","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72587.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72587","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72587.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72586","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72586.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72586","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72586.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72586","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72586.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72586","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72586.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72585","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72585.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72585","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72585.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72585","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72585.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72585","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72585.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72584","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72584.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72584","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72584.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-72584","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72584.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-72584","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72584.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-72583","TuranSec","cvelistV5/cves/2026/72xxx/CVE-2026-72583.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
