"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-30798","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30798.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30797","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30797.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30796","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30796.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30795","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30795.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30793","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30793.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30792","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30792.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30791","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30791.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30789","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30789.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30785","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30785.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30783","VULSec","cvelistV5/cves/2026/30xxx/CVE-2026-30783.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3598","VULSec","cvelistV5/cves/2026/3xxx/CVE-2026-3598.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52275","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52275.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52274","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52274.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52274","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52274.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52273","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52273.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52273","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52273.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52272","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52272.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-52272","VULSec","cvelistV5/cves/2024/52xxx/CVE-2024-52272.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
