"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-7860","Vaadin","cvelistV5/cves/2026/7xxx/CVE-2026-7860.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2742","Vaadin","cvelistV5/cves/2026/2xxx/CVE-2026-2742.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2741","Vaadin","cvelistV5/cves/2026/2xxx/CVE-2026-2741.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-15022","Vaadin","cvelistV5/cves/2025/15xxx/CVE-2025-15022.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9467","Vaadin","cvelistV5/cves/2025/9xxx/CVE-2025-9467.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-25500","Vaadin","cvelistV5/cves/2023/25xxx/CVE-2023-25500.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-25499","Vaadin","cvelistV5/cves/2023/25xxx/CVE-2023-25499.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-25499","Vaadin","cvelistV5/cves/2023/25xxx/CVE-2023-25499.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-29567","Vaadin","cvelistV5/cves/2022/29xxx/CVE-2022-29567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33611","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33611.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33611","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33611.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33611","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33611.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33611","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33611.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33611","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33611.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33609","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33609.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33609","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33609.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33609","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33609.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33609","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33609.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33609","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33609.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33605","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33605.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33604","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33604.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33604","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33604.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-33604","Vaadin","cvelistV5/cves/2021/33xxx/CVE-2021-33604.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
