"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2021-26277","Vivo","cvelistV5/cves/2021/26xxx/CVE-2021-26277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12488","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12488.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12485","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2020-12483","Vivo","cvelistV5/cves/2020/12xxx/CVE-2020-12483.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
