"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-22818","WDC PSIRT","cvelistV5/cves/2023/22xxx/CVE-2023-22818.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-22817","WDC PSIRT","cvelistV5/cves/2023/22xxx/CVE-2023-22817.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-22814","WDC PSIRT","cvelistV5/cves/2023/22xxx/CVE-2023-22814.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-22813","WDC PSIRT","cvelistV5/cves/2023/22xxx/CVE-2023-22813.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-22812","WDC PSIRT","cvelistV5/cves/2023/22xxx/CVE-2023-22812.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-36331","WDC PSIRT","cvelistV5/cves/2022/36xxx/CVE-2022-36331.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-36330","WDC PSIRT","cvelistV5/cves/2022/36xxx/CVE-2022-36330.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-36329","WDC PSIRT","cvelistV5/cves/2022/36xxx/CVE-2022-36329.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-36328","WDC PSIRT","cvelistV5/cves/2022/36xxx/CVE-2022-36328.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-36326","WDC PSIRT","cvelistV5/cves/2022/36xxx/CVE-2022-36326.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-29842","WDC PSIRT","cvelistV5/cves/2022/29xxx/CVE-2022-29842.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-29841","WDC PSIRT","cvelistV5/cves/2022/29xxx/CVE-2022-29841.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-29840","WDC PSIRT","cvelistV5/cves/2022/29xxx/CVE-2022-29840.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
