"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-12517","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12516","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12378","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12378.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12375","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12375.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12277","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12270","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12270.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12083","WPScan","cvelistV5/cves/2026/12xxx/CVE-2026-12083.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11965","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11965.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11962","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11962.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11887","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11887.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11883","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11883.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11880","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11880.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11875","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11875.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11869","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11869.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11855","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11855.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11794","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11794.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11781","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11781.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11766","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11766.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11590","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11590.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11589","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11589.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11581","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11581.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11578","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11578.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11571","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11571.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11570","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11570.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11568","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11568.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11562","WPScan","cvelistV5/cves/2026/11xxx/CVE-2026-11562.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10835","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10835.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10834","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10834.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10830","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10830.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10824","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10824.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10823","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10823.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10820","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10820.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10753","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10753.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10750","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10750.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10749","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10749.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10735","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10735.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10531","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10531.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10530","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10530.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10083","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10083.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10077","WPScan","cvelistV5/cves/2026/10xxx/CVE-2026-10077.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9822","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9822.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9815","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9815.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9710","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9710.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9709","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9709.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9702","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9702.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9677","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9677.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9676","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9576","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9576.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9570","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9570.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9278","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9278.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9271","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9271.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9269","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9269.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9067","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9067.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9062","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9062.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9061","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9061.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9060","WPScan","cvelistV5/cves/2026/9xxx/CVE-2026-9060.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8981","WPScan","cvelistV5/cves/2026/8xxx/CVE-2026-8981.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8935","WPScan","cvelistV5/cves/2026/8xxx/CVE-2026-8935.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
