"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-41288","WatchGuard","cvelistV5/cves/2026/41xxx/CVE-2026-41288.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41287","WatchGuard","cvelistV5/cves/2026/41xxx/CVE-2026-41287.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41286","WatchGuard","cvelistV5/cves/2026/41xxx/CVE-2026-41286.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6788","WatchGuard","cvelistV5/cves/2026/6xxx/CVE-2026-6788.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6787","WatchGuard","cvelistV5/cves/2026/6xxx/CVE-2026-6787.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6947","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6947.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6947","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6947.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6946","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6946.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-6946","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6946.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-6946","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6946.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6946","WatchGuard","cvelistV5/cves/2025/6xxx/CVE-2025-6946.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4805","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4805.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4804","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4804.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-4804","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4804.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-4804","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4804","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4804.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4106","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4106.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4106","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4106.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4106","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4106.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-4106","WatchGuard","cvelistV5/cves/2025/4xxx/CVE-2025-4106.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-1910","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1910.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-1910","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1910.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-1239","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1239.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-1239","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1239.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-1239","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1239.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-1239","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1239.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-1071","WatchGuard","cvelistV5/cves/2025/1xxx/CVE-2025-1071.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
