"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-87870","Wordfence","cvelistV5/cves/2026/87xxx/CVE-2026-87870.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-87870","Wordfence","cvelistV5/cves/2026/87xxx/CVE-2026-87870.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-87870","Wordfence","cvelistV5/cves/2026/87xxx/CVE-2026-87870.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-87870","Wordfence","cvelistV5/cves/2026/87xxx/CVE-2026-87870.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-85645","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85645.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-85645","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85645.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85645","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85645.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-85645","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85645.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85414","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85414.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85414","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85414.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85414","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85414.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-85414","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85414.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-85200","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85200.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-85200","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85200.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-85200","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85200.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85200","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85200.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85198","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85198.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-85198","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85198.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85198","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85198.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-85198","Wordfence","cvelistV5/cves/2026/85xxx/CVE-2026-85198.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-84960","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84960.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84960","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84960.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-84960","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84960.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-84960","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84960.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84908","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84908.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-84908","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84908.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84908","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84908.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-84908","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84908.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84293","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84293.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84293","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84293.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2026-84293","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84293.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-84293","Wordfence","cvelistV5/cves/2026/84xxx/CVE-2026-84293.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-83628","Wordfence","cvelistV5/cves/2026/83xxx/CVE-2026-83628.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-83628","Wordfence","cvelistV5/cves/2026/83xxx/CVE-2026-83628.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-83627","Wordfence","cvelistV5/cves/2026/83xxx/CVE-2026-83627.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-83627","Wordfence","cvelistV5/cves/2026/83xxx/CVE-2026-83627.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-83627","Wordfence","cvelistV5/cves/2026/83xxx/CVE-2026-83627.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
