CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2024-23629,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23629.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23626,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23626.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23625,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23625.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23624,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23624.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23622,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23622.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23620,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23620.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23619,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23619.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23618,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23618.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23617,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23617.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23616,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23616.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23615,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23615.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23614,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23614.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-23613,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2024/23xxx/CVE-2024-23613.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43822,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43822.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43821,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43821.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43819,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43819.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43818,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43818.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43817,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43817.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43816,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43816.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-43815,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/43xxx/CVE-2023-43815.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41028,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/41xxx/CVE-2023-41028.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-41027,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/41xxx/CVE-2023-41027.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-5131,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/5xxx/CVE-2023-5131.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-5130,XI,/home/runner/.cache/cvelint/cvelistV5/cves/2023/5xxx/CVE-2023-5130.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
