"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-66608","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66608.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66608","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66608.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66607","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66607.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66607","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66607.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66606","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66606.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66606","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66606.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66605","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66605","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66605.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66604","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66604.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66604","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66604.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66603","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66603.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66603","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66603.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66602","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66602.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66602","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66602.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66601","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66601.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66601","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66601.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66600","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66600.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66600","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66600.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66599","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66599.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66599","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66599.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66598","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66598.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66598","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66598.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66597","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66597.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-66597","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66597.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66596","YokogawaGroup","cvelistV5/cves/2025/66xxx/CVE-2025-66596.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
