"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-24729","ZUSO ART","cvelistV5/cves/2026/24xxx/CVE-2026-24729.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-24729","ZUSO ART","cvelistV5/cves/2026/24xxx/CVE-2026-24729.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-24728","ZUSO ART","cvelistV5/cves/2026/24xxx/CVE-2026-24728.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-24728","ZUSO ART","cvelistV5/cves/2026/24xxx/CVE-2026-24728.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54946","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54946.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54946","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54946.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54945","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54945.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54945","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54945.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54944","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54944.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54944","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54944.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54943","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54943.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54943","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54943.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54942","ZUSO ART","cvelistV5/cves/2025/54xxx/CVE-2025-54942.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
