"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-23928","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23928.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23927","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23927.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23926","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23926.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23925","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23925.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23924","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23924.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23923","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23923.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23921","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23921.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23920","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23920.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-23919","Zabbix","cvelistV5/cves/2026/23xxx/CVE-2026-23919.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-49643","Zabbix","cvelistV5/cves/2025/49xxx/CVE-2025-49643.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-49642","Zabbix","cvelistV5/cves/2025/49xxx/CVE-2025-49642.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-49641","Zabbix","cvelistV5/cves/2025/49xxx/CVE-2025-49641.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27240","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27240.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27238","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27237","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27236","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27236.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27234","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27234.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27233","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27233.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27232","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27232.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27231","Zabbix","cvelistV5/cves/2025/27xxx/CVE-2025-27231.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-45700","Zabbix","cvelistV5/cves/2024/45xxx/CVE-2024-45700.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-45699","Zabbix","cvelistV5/cves/2024/45xxx/CVE-2024-45699.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42333","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42333.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42332","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42332.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42331","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42331.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42330","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42330.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42329","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42329.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42328","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42328.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42327","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42327.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42326","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42326.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-42325","Zabbix","cvelistV5/cves/2024/42xxx/CVE-2024-42325.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-36469","Zabbix","cvelistV5/cves/2024/36xxx/CVE-2024-36469.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
