"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-28756","Zohocorp","cvelistV5/cves/2026/28xxx/CVE-2026-28756.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28754","Zohocorp","cvelistV5/cves/2026/28xxx/CVE-2026-28754.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28703","Zohocorp","cvelistV5/cves/2026/28xxx/CVE-2026-28703.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-27655","Zohocorp","cvelistV5/cves/2026/27xxx/CVE-2026-27655.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8174","Zohocorp","cvelistV5/cves/2026/8xxx/CVE-2026-8174.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5785","Zohocorp","cvelistV5/cves/2026/5xxx/CVE-2026-5785.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4108","Zohocorp","cvelistV5/cves/2026/4xxx/CVE-2026-4108.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4107","Zohocorp","cvelistV5/cves/2026/4xxx/CVE-2026-4107.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3880","Zohocorp","cvelistV5/cves/2026/3xxx/CVE-2026-3880.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3879","Zohocorp","cvelistV5/cves/2026/3xxx/CVE-2026-3879.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3324","Zohocorp","cvelistV5/cves/2026/3xxx/CVE-2026-3324.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2740","Zohocorp","cvelistV5/cves/2026/2xxx/CVE-2026-2740.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1367","Zohocorp","cvelistV5/cves/2026/1xxx/CVE-2026-1367.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41444","Zohocorp","cvelistV5/cves/2025/41xxx/CVE-2025-41444.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41437","Zohocorp","cvelistV5/cves/2025/41xxx/CVE-2025-41437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41407","Zohocorp","cvelistV5/cves/2025/41xxx/CVE-2025-41407.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-41403","Zohocorp","cvelistV5/cves/2025/41xxx/CVE-2025-41403.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36528","Zohocorp","cvelistV5/cves/2025/36xxx/CVE-2025-36528.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36527","Zohocorp","cvelistV5/cves/2025/36xxx/CVE-2025-36527.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27930","Zohocorp","cvelistV5/cves/2025/27xxx/CVE-2025-27930.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27709","Zohocorp","cvelistV5/cves/2025/27xxx/CVE-2025-27709.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11670","Zohocorp","cvelistV5/cves/2025/11xxx/CVE-2025-11670.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11669","Zohocorp","cvelistV5/cves/2025/11xxx/CVE-2025-11669.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11250","Zohocorp","cvelistV5/cves/2025/11xxx/CVE-2025-11250.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11248","Zohocorp","cvelistV5/cves/2025/11xxx/CVE-2025-11248.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10020","Zohocorp","cvelistV5/cves/2025/10xxx/CVE-2025-10020.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9787","Zohocorp","cvelistV5/cves/2025/9xxx/CVE-2025-9787.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9435","Zohocorp","cvelistV5/cves/2025/9xxx/CVE-2025-9435.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
