"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-53408","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53408.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53408","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53408.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53407","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53407.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53407","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53407.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-53406","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53406.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53406","Zoom","cvelistV5/cves/2026/53xxx/CVE-2026-53406.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30906","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30906.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30906","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30906.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30905","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30905.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-30905","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30905.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30904","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30904.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-30904","Zoom","cvelistV5/cves/2026/30xxx/CVE-2026-30904.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
