"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-22569","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22569.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22569","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22569.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22569","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22569.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22568","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22568.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22568","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22568.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22567","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22567.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22567","Zscaler","cvelistV5/cves/2026/22xxx/CVE-2026-22567.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54983","Zscaler","cvelistV5/cves/2025/54xxx/CVE-2025-54983.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54983","Zscaler","cvelistV5/cves/2025/54xxx/CVE-2025-54983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54983","Zscaler","cvelistV5/cves/2025/54xxx/CVE-2025-54983.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-54982","Zscaler","cvelistV5/cves/2025/54xxx/CVE-2025-54982.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54982","Zscaler","cvelistV5/cves/2025/54xxx/CVE-2025-54982.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-31127","Zscaler","cvelistV5/cves/2024/31xxx/CVE-2024-31127.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-31127","Zscaler","cvelistV5/cves/2024/31xxx/CVE-2024-31127.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23483","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23483.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23483","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23483.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-23482","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23482.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-23482","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23482.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-23482","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23482.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23480","Zscaler","cvelistV5/cves/2024/23xxx/CVE-2024-23480.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
