CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-9133,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/9xxx/CVE-2025-9133.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.32 through V5.40"
CVE-2025-9133,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/9xxx/CVE-2025-9133.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.16 through V5.40"
CVE-2025-9133,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/9xxx/CVE-2025-9133.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.16 through V5.40"
CVE-2025-9133,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/9xxx/CVE-2025-9133.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.50 through V5.40"
CVE-2025-8693,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8693.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABVY.6.3)C0"
CVE-2025-8078,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8078.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.16 through V5.40"
CVE-2025-8078,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8078.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.16 through V5.40"
CVE-2025-8078,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8078.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "version from V4.50 through V5.40"
CVE-2025-8078,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8078.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions from V4.32 through V5.40"
CVE-2025-7673,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/7xxx/CVE-2025-7673.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.50(ABOM.5)C0"
CVE-2025-6599,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6599.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABVY.6.3)C0"
CVE-2025-6265,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/6xxx/CVE-2025-6265.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 7.10(ACGE.2)"
CVE-2025-3577,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/3xxx/CVE-2025-3577.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "2.00(AAJC.16)C0"
CVE-2025-1732,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1732.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= V1.31"
CVE-2025-1731,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1731.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "from V1.20 through V1.31"
CVE-2025-0890,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0890.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 1.00(AAFR.4)C0_20170615"
CVE-2024-42061,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42061.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.32 through V5.38"
CVE-2024-42061,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42061.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-42061,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42061.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-42061,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42061.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.50 through V5.38"
CVE-2024-42060,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42060.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-42060,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42060.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.50 through V5.38"
CVE-2024-42060,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42060.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.32 through V5.38"
CVE-2024-42060,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42060.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-42059,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.00 through V5.38"
CVE-2024-42059,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.00 through V5.38"
CVE-2024-42059,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.00 through V5.38"
CVE-2024-42059,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.00 through V5.38"
CVE-2024-42058,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42058.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.50 through V5.38"
CVE-2024-42058,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42058.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.20 through V5.38"
CVE-2024-42058,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42058.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V5.20 through V5.38"
CVE-2024-42058,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42058.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.32 through V5.38"
CVE-2024-42057,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42057.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.50 through V5.38"
CVE-2024-42057,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42057.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.32 through V5.38"
CVE-2024-42057,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42057.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-42057,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/42xxx/CVE-2024-42057.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "versions V4.16 through V5.38"
CVE-2024-40891,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/40xxx/CVE-2024-40891.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 1.00(AAFR.4)C0_20170615"
CVE-2024-40890,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/40xxx/CVE-2024-40890.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 1.00(AAFR.4)C0_20170615"
CVE-2024-38270,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/38xxx/CVE-2024-38270.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "V2.80(AAZI.0)C0"
CVE-2024-38269,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/38xxx/CVE-2024-38269.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABOM.8)C0"
CVE-2024-38268,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/38xxx/CVE-2024-38268.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABOM.8)C0"
CVE-2024-38267,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/38xxx/CVE-2024-38267.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABOM.8)C0"
CVE-2024-38266,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/38xxx/CVE-2024-38266.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<= 5.50(ABOM.8)C0"
CVE-2024-29976,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29976.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(AAZF.17)C0"
CVE-2024-29976,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29976.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(ABAG.14)C0"
CVE-2024-29975,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29975.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(AAZF.17)C0"
CVE-2024-29975,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29975.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(ABAG.14)C0"
CVE-2024-29974,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29974.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(AAZF.17)C0"
CVE-2024-29974,Zyxel,/home/runner/.cache/cvelint/cvelistV5/cves/2024/29xxx/CVE-2024-29974.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "< V5.21(ABAG.14)C0"
